MCS,class,num,smarts
CCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,139,3,[#6]-[#6]-[#7]-1-[#6]-[#6]-[#7](-[#6](-[#6]:2:[#6]:[#6]:[#6](:[#6]:[#6]:2)-[Cl])-[#6]:2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6]-[#6]-1
Cc1c(OC)c(C)cnc1CS(=O)c1nc2c([nH]1)cc(OC)cc2,1017,3,[#6]-[#8]-[#6]:1:[#6]:[#6]:2:[#6](:[#7]:[#6](-[#16](-[#6]-[#6]:3:[#7]:[#6]:[#6](:[#6](:[#6]:3-[#6])-[#8]-[#6])-[#6])=[#8]):[#7]:2):[#6]:[#6]:1
cc(NS(=O)(=O)c1ccc(N)cc1)nc,1076,3,[#6]:[#6](-[#7]-[#16](-[#6]:1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7])(=[#8])=[#8]):[#7]:[#6]
C1c2c(cccc2)N(C(=O)N)c2ccccc2C1,851,3,[#6]-1-[#6]:2:[#6](-[#7](-[#6](-[#7])=[#8])-[#6]:3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]-1):[#6]:[#6]:[#6]:[#6]:2
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,257,3,[#6]-[#6](-[#6]=[#6]-[#6]=[#6](-[#6]=[#6]-[#6]-1=[#6](-[#6]-[#6]-[#6]-[#6]-1(-[#6])-[#6])-[#6])-[#6])=[#6]-[#6]-[#8]
c1cc2c(cc1)Sc1ccccc1C2=CCCN(C)C,605,3,[#6](=[#6]-1-[#6]:2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#16]-[#6]:2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2)-[#6]-[#6]-[#7](-[#6])-[#6]
Cc1c(Ncnc(c)-c2cnccc2)cc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1,718,3,[#6]-[#6]:1:[#6](-[#7]-[#6]:[#7]:[#6](-[#6]:2:[#6]:[#7]:[#6]:[#6]:[#6]:2):[#6]):[#6]:[#6](-[#7]-[#6](-[#6]:2:[#6]:[#6]:[#6](-[#6]-[#7]-3-[#6]-[#6]-[#7]-[#6]-[#6]-3):[#6]:[#6]:2)=[#8]):[#6]:[#6]:1
CN1CCC23C4Oc5c2c(ccc5O)CC1C3C=CC4O,413,3,[#6]-[#7]-1-[#6]-[#6]-[#6]-2-3-[#6]-4-[#8]-[#6]:5:[#6]-2:[#6](:[#6]:[#6]:[#6]:5-[#8])-[#6]-[#6]-1-[#6]-3-[#6]=[#6]-[#6]-4-[#8]
O=C1C2Oc3c(O)ccc4c3C23C(O)(CC1)C(N(CC)CC3)C4,420,3,[#8]=[#6]-1-[#6]-2-[#8]-[#6]:3:[#6](:[#6]:[#6]:[#6]-4:[#6]:3-[#6]-3-2-[#6](-[#6](-[#6]-4)-[#7](-[#6]-[#6])-[#6]-[#6]-3)(-[#8])-[#6]-[#6]-1)-[#8]
C12CCCN1C(=O)C(C)N1C(=O)C(NC(=O)C3CN(C)C4Cc5c[nH]c6cccc(c56)C4C3)(C)OC21O,432,3,[#6]-1-2-[#6]-[#6]-[#6]-[#7]-1-[#6](-[#6](-[#7]-1-[#6](-[#6](-[#6])(-[#8]-[#6]-2-1-[#8])-[#7]-[#6](-[#6]-1-[#6]-[#7](-[#6]-2-[#6]-[#6]:3:[#6]:[#7]:[#6]:4:[#6]:[#6]:[#6]:[#6](-[#6]-2-[#6]-1):[#6]:3:4)-[#6])=[#8])=[#8])-[#6])=[#8]
Cc1cc2c(CCN(C)C)c[nH]c2cc1,652,3,[#6]-[#6]:1:[#6]:[#6]:2:[#6](:[#7]:[#6]:[#6]:2-[#6]-[#6]-[#7](-[#6])-[#6]):[#6]:[#6]:1
CCc1c[nH]c2c1cc(CC1COC(=O)N1)cc2,651,3,[#6]-[#6]-[#6]:1:[#6]:[#7]:[#6]:2:[#6]:1:[#6]:[#6](-[#6]-[#6]-1-[#6]-[#8]-[#6](-[#7]-1)=[#8]):[#6]:[#6]:2
CCC(c1ccccc1)c1c(O)c2c(oc1=O)cccc2,638,3,[#6]-[#6]-[#6](-[#6]:1:[#6](:[#6]:2:[#6](:[#6]:[#6]:[#6]:[#6]:2):[#8]:[#6]:1=[#8])-[#8])-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
CNCCC=C1c2ccccc2COc2ccccc21,604,3,[#6]-[#7]-[#6]-[#6]-[#6]=[#6]-1-[#6]:2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]-[#8]-[#6]:2:[#6]:[#6]:[#6]:[#6]:[#6]:2-1
OCC1OC(n2ccc(=O)[nH]c2=O)CC1O,264,3,[#8]-[#6]-[#6]-1-[#8]-[#6](-[#7]:2:[#6]:[#6]:[#6](:[#7]:[#6]:2=[#8])=[#8])-[#6]-[#6]-1-[#8]
nCc1ccc(-c2ccccc2-c2n[nH]nn2)cc1,598,3,[#7]-[#6]-[#6]:1:[#6]:[#6]:[#6](-[#6]:2:[#6](-[#6]:3:[#7]:[#7]:[#7]:[#7]:3):[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1
NCc1ccc(-c2ccccc2-c2[nH]nnn2)cc1,597,3,[#7]-[#6]-[#6]:1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]:1:[#7]:[#7]:[#7]:[#7]:1
